Description,ANOnto,AROnto,CBOOnto,CBOOnto2,CROnto,DITOnto,INROnto,LCOMOnto,NACOnto,NOCOnto,NOMOnto,POnto,PROnto,RFCOnto,RROnto,TMOnto,TMOnto2,WMCOnto,WMCOnto2
ADO,0,3.950384944,0.999144568,0.999144568,0.99572284,3,0.999144568,1.999141631,1,292,2.963216424,0.99572284,0.747841105,3.962360992,0.252158895,0,0,1.999141631,1
AEO,0.929824561,0.543859649,0.98245614,0.98245614,0,5,0.98245614,2.357142857,1,3.733333333,0.98245614,0.578947368,0.5,1.964912281,0.5,0,0,2.357142857,1
AFO,0.75,0,0.875,0.875,3998.875,3,0.875,1.333333333,1,3.5,2275.75,0.25,0.999615659,2276.625,0.000384341,0,0,1.333333333,1
AGRO,0.990740741,3.101851852,1.069444444,1.069444444,0.363425926,16,1.069444444,7.695970696,1.052173913,2.287128713,1.203703704,1.055555556,0.529531568,2.273148148,0.470468432,0.062645012,2.148148148,9.134782609,1.186956522
AGRORDF,1.236263736,0,1.065934066,1.065934066,0,6,1.032967033,2.467532468,1.077464789,4.7,0.587912088,0.857142857,0.362711864,1.653846154,0.637288136,0.071823204,2,2.676056338,1.084507042
ANAEETHES,0,0,0.666666667,0.666666667,1107.666667,2,0.666666667,1,1,2,0,0,0,0.666666667,1,0,0,1,1
ASCOPAIN-T,0,0,0.5,0.5,0.5,2,0.5,1,1,1,0,0,0,0.5,1,0,0,1,1
ATOL,0.998092513,0,1.037195994,1.037195994,1.999046257,14,1.037195994,7.634697618,1.031485284,3.419811321,0,1.038149738,0,1.037195994,1,0.033874046,2.154929577,8.554414784,1.120465435
BCO,1.312101911,3.52866242,1.031847134,1.031847134,0.178343949,11,1.031847134,5.087591241,1.027777778,3.306122449,2.719745223,1.038216561,0.724957555,3.751592357,0.275042445,0.057692308,2,6.453703704,1.268518519
BFO,0.972222222,0,0.972222222,0.972222222,0,7,0.972222222,4.904761905,1,2.333333333,0,0.944444444,0,0.972222222,1,0,0,4.904761905,1
BIOREFINERY,0,0,1.017130621,1.017130621,1.158458244,9,1.017130621,4.612987013,1.02393617,5.21978022,1.533190578,0.993576017,0.601175483,2.550321199,0.398824517,0.019313305,2.222222222,4.723404255,1.02393617
CDAO,0.951388889,4.201388889,1.0625,1.0625,0.055555556,6,1.0625,3.155963303,1.101010101,3.4,2.895833333,0.847222222,0.731578947,3.958333333,0.268421053,0.034965035,2,3.474747475,1.101010101
CL,0.417055899,0,1.520566521,1.520566521,0,36,1.520566521,11.03394186,1.576690489,3.365121707,0.793882778,0.488925719,0.343011523,2.314449299,0.656988477,0.117389994,2.216944801,135.7344695,12.30153931
CO_020,0.88,0,0.992,0.992,0.88,7,0.992,4.315789474,1,4.133333333,0,0.96,0,0.992,1,0,0,4.315789474,1
CO_121,0.836956522,0,0.989130435,0.989130435,0.836956522,4,0.989130435,2.833333333,1,6.5,0,0.945652174,0,0.989130435,1,0,0,2.833333333,1
CO_125,1.437086093,0,0.993377483,0.993377483,0.006622517,5,0.993377483,2.1875,1,6.52173913,0.410596026,0.609271523,0.29245283,1.40397351,0.70754717,0,0,2.1875,1
CO_320,0.820325203,0,0.999593496,0.999593496,0.993495935,5,0.999593496,3.322392086,1,10.41949153,0.767886179,0.997560976,0.434452622,1.767479675,0.565547378,0,0,3.322392086,1
CO_321,0.945118734,0,0.999472296,0.999472296,0.991556728,5,0.999472296,3.023783186,1,21.77011494,1.089709763,0.996306069,0.521596363,2.089182058,0.478403637,0,0,3.023783186,1
