Description,ANOnto,AROnto,CBOOnto,CBOOnto2,CROnto,DITOnto,INROnto,LCOMOnto,NACOnto,NOCOnto,NOMOnto,POnto,PROnto,RFCOnto,RROnto,TMOnto,TMOnto2,WMCOnto,WMCOnto2
AEO,0.992031873,0,1.067729084,1.067729084,0.003984064,13,1.067729084,6.258064516,1.08974359,2.821052632,0.446215139,1.06374502,0.294736842,1.513944223,0.705263158,0.068,2.117647059,7.461538462,1.192307692
AGRO,0.990740741,3.101851852,1.069444444,1.069444444,0.363425926,16,1.069444444,7.695970696,1.052173913,2.287128713,1.203703704,1.055555556,0.529531568,2.273148148,0.470468432,0.062645012,2.148148148,9.134782609,1.186956522
APO,1.026392962,0,1,1,0.002932551,9,1,3.914179104,1.003745318,4.608108108,0,0.891495601,0,1,1,0.002941176,2,3.928838951,1.003745318
BCO,1.291338583,3.503937008,1.015748031,1.015748031,0.212598425,8,1.015748031,4.602150538,1.022222222,3.486486486,3.267716535,1.007874016,0.762867647,4.283464567,0.237132353,0.047619048,2,4.755555556,1.033333333
BFO,0.972222222,0,0.972222222,0.972222222,0,7,0.972222222,4.904761905,1,2.333333333,0,0.944444444,0,0.972222222,1,0,0,4.904761905,1
BSPO,1.094890511,0,1.335766423,1.335766423,0.00729927,5,1.335766423,2.968944099,1.302083333,4.463414634,1.233576642,0.897810219,0.480113636,2.569343066,0.519886364,0,0,4.979166667,1.677083333
BTO,1.001355932,0,1.046949153,1.046949153,0.000169492,9,1.046949153,2.766975569,1.039297826,6.963923337,0.457288136,0.731016949,0.304,1.504237288,0.696,0.048821834,2.055555556,3.275882705,1.183921803
CARO,0.980392157,0,0.980392157,0.980392157,0.019607843,8,0.980392157,5.129032258,1,2.5,0.156862745,0.960784314,0.137931034,1.137254902,0.862068966,0,0,5.129032258,1
CDAO,0.951388889,4.201388889,1.0625,1.0625,0.055555556,6,1.0625,3.155963303,1.101010101,3.4,2.895833333,0.847222222,0.731578947,3.958333333,0.268421053,0.034965035,2,3.474747475,1.101010101
CEPH,0.236305732,0,1.117197452,1.117197452,0.015286624,9,1.117197452,5.89941691,1.117266851,3.60164271,0.16433121,0.229936306,0.128230616,1.281528662,0.871769384,0.019120459,2.233333333,3.736842105,0.633425669
CHEBI,0.999971236,0,1.499808238,1.499808238,9.5881E-06,25,1.499808238,12.2650557,1.505116616,14.92025944,0.669910639,1.515599831,0.308754579,2.169718877,0.691245421,0.329996644,2.563994538,207.3823605,16.90839125
CHEMINF,0.311938383,3.872913992,1.089858793,1.089858793,0,13,1.089858793,8.520206363,1.076502732,3.691304348,0.535301669,0.323491656,0.329383886,1.625160462,0.670616114,0.005141388,2,18.04918033,2.118397086
CHMO,1.009777478,2.56641942,1.03202967,1.03202967,0,13,1.03202967,7.315168029,1.033630069,3.242584746,0.132164531,1.030343898,0.113524471,1.164194201,0.886475529,0.030354132,2.066666667,7.966369931,1.089020772
CIO,1.2,1.377777778,0.977777778,0.977777778,0,7,0.977777778,4.444444444,1,2.444444444,2.288888889,0.933333333,0.700680272,3.266666667,0.299319728,0,0,4.444444444,1
CL,0.421334558,0,1.530149985,1.530149985,0,36,1.530149985,10.96515626,1.586821267,3.334889927,0.803795531,0.495408632,0.344393443,2.333945516,0.655606557,0.119699985,2.210997442,140.7050339,12.83201357
CLO,1.100695465,4.919237927,2.28217749,2.28217749,0.000563229,25,2.28217749,17.29217599,2.330301543,43.65105386,2.711137232,1.02213733,0.542953405,4.993314722,0.457046595,0.015819762,2.430340557,341.2953929,19.73698354
CMO,1.006336191,0,1.231457324,1.231457324,0.000372717,15,1.231457324,8.041675137,1.208491281,2.42228739,0.003727171,1.227730153,0.003017502,1.235184495,0.996982498,0.21961223,2.062818336,29.99014405,3.729340409
CTENO,0.263888889,0,1.799382716,1.799382716,0,14,1.216049383,6.869346734,1.203703704,2.918518519,0.353395062,1.216049383,0.225172075,2.152777778,0.774827925,0.160741886,2.355769231,14.46560847,2.105820106
DDANAT,1.068181818,0,0.992424242,0.992424242,0.007575758,5,0.992424242,3.689320388,1,4.517241379,1.704545455,0.946969697,0.632022472,2.696969697,0.367977528,0,0,3.689320388,1
DDPHENO,0.954674221,0,1.142587347,1.142587347,0,12,1.142587347,5.306122449,1.164879357,3.865814696,0,1.019830028,0,1.142587347,1,0.139886578,2.027027027,7.667560322,1.445040214
DIDEO,0.647982063,1.089686099,0.997757848,0.997757848,0.002242152,20,0.997757848,6.732342007,1,2.514124294,1.30941704,0.596412556,0.567541302,2.307174888,0.432458698,0,0,6.732342007,1
DOID,1.005154639,0,1.020315343,1.020315343,0.000101071,14,1.020315343,5.637603158,1.021603397,5.352598091,0.00151607,0.780371943,0.00148368,1.021831413,0.99851632,0.020418478,2,5.886113886,1.044080919
DPO,1.106508876,1.447731755,1.347140039,1.347140039,0,17,1.347140039,6.631889764,1.400921659,2.355172414,2.047337278,1.331360947,0.603137711,3.394477318,0.396862289,0.308300395,2.134615385,15.52534562,2.341013825
ECO,1.140947752,0,1.42162819,1.42162819,0.001215067,12,1.42162819,5.635030864,1.661870504,2.881773399,0.788578372,1.405832321,0.356789445,2.210206561,0.643210555,0.413625304,2.023529412,17.51318945,3.107913669
EHDAA2,0.998903108,0,1.131261426,1.131261426,0.000365631,13,1.131261426,7.001979638,1.135093168,19.4591195,3.767458867,1.127239488,0.76907001,4.898720293,0.23092999,0.128383321,2.025641026,9.611413043,1.372670807
EMAP,0.995885832,0,0.999948573,0.999948573,5.14271E-05,4,0.999948573,1.027622015,1,105.1027027,1.090254564,0.026999229,0.521602205,2.090203137,0.478397795,0,0,1.027622015,1
EMAPA,1.788777908,0,1.019682726,1.019682726,0,11,1.019682726,2.009484473,1.016711762,13.22285714,2.83519389,0.364130435,0.735482396,3.854876616,0.264517604,0.01953871,2.015037594,2.090720993,1.040426548
ENVO,1.122067767,0,1.058644657,1.058644657,0.000434405,12,1.058644657,5.167479675,1.055040198,3.557664234,0.436142485,1.006950478,0.291775647,1.494787142,0.708224353,0.057800956,2.022556391,5.896103896,1.141001855
ERO,1.037912358,16.3276711,1.029049729,1.029049729,0.005416051,17,1.029049729,8.360588235,1.02476489,4.793577982,0.27966519,0.990398818,0.213694507,1.308714919,0.786305493,0.002462448,2,8.910971787,1.065830721
EXO,0.987804878,0,1,1,0.012195122,4,1,2.095238095,1.016129032,4.1,0.682926829,0.682926829,0.405797101,1.682926829,0.594202899,0.012345679,2,2.129032258,1.016129032
FAO,0.989010989,0,1.10989011,1.10989011,0.010989011,9,1.10989011,4.298507463,1.12962963,2.72972973,0.340659341,0.956043956,0.234848485,1.450549451,0.765151515,0.122222222,2,5.333333333,1.240740741
FBBI,0.9952,0.3264,1.0016,1.0016,0,11,1.0016,5.864705882,1.001980198,5.216666667,0.12,0.8288,0.106990014,1.1216,0.893009986,0.003205128,2,5.922772277,1.00990099
FBBT,1.10397523,3.247502996,1.372353176,1.372353176,0,17,1.372353176,10.38225474,1.35884551,6.103953798,2.234818218,1.325908909,0.619548664,3.607171394,0.380451336,0.30596344,2.217433888,37.66293003,3.627625306
FBCV,1.06462585,0.416099773,1.272675737,1.272675737,0,23,1.272675737,12.20623878,1.222851747,3.184397163,0.660430839,1.167800454,0.341642229,1.933106576,0.658357771,0.22915485,2.193069307,51.36071766,4.207743154
FBDV,1.749019608,0,1.08627451,1.08627451,0,9,1.08627451,4.243542435,1.024271845,5.653061224,1.807843137,1.050980392,0.624661247,2.894117647,0.375338753,0.082677165,2.095238095,5.582524272,1.315533981
FIX,0.995704467,0,1.394329897,1.394329897,0.000859107,17,1.394329897,10.53166069,1.445742905,2.872566372,0.073024055,1.378006873,0.049765808,1.467353952,0.950234192,0.339638865,2.169620253,88.29716194,8.383973289
FLOPO,1.02909984,0.359654672,1.91377963,1.91377963,0,15,1.316079336,7.999061436,1.24505043,3.271390251,1.826033565,1.325345142,0.581148298,3.739813195,0.418851702,0.316984221,2.02723644,37.14269705,4.643381895
FMA,0.99942451,52.75854363,1.000211013,1.000211013,0,25,1.000211013,12.96757449,1.000327207,3.070068007,1.520722432,0.999923268,0.603237834,2.520933445,0.396762166,0,0,12.97181756,1.000327207
FOODON,0.998542274,0,1.451895044,1.451895044,0.011661808,17,1.451895044,9.207228916,1.529562982,3.353535354,2.61516035,1.451895044,0.643010753,4.067055394,0.356989247,0.325547445,2.394618834,49.11311054,5.334190231
FYPO,1.064676617,0,1.542999289,1.542999289,0.000118455,25,1.542999289,9.936026455,1.505465145,3.011791908,2.334991708,1.526533997,0.602113752,3.877990997,0.397886248,0.435019547,2.248638344,270.0369201,27.17755647
GENEPIO,0.265341104,0,1.269112101,1.269112101,0.019883442,21,1.269112101,10.75377052,1.241056687,3.365454545,0.164895441,0.603702434,0.114989242,1.434007542,0.885010758,0.062757202,2.131147541,71.02696753,6.604843148
GEO,0.742574257,0.693069307,1,1,0.03960396,10,1,5.950819672,1,2.463414634,0.891089109,0.514851485,0.471204188,1.891089109,0.528795812,0,0,6.05,1.016666667
GO,1.048931987,0,1.689471803,1.689471803,2.23434E-05,18,1.689471803,9.833348815,1.616000577,4.439525599,0.681026008,1.645231924,0.287292401,2.37049781,0.712707599,0.463099095,2.488902827,194.7392512,19.80396047
HAO,0.994285714,0,1.009795918,1.009795918,1.125306122,12,1.009795918,6.510467706,1.009891663,7.565749235,2.057142857,0.970204082,0.670747937,3.066938776,0.329252063,0.012249898,2,6.884597268,1.05746585
HOM,1.268656716,0,1.149253731,1.149253731,0.014925373,7,1.149253731,4.72,1.236842105,2.655172414,0,1.119402985,0,1.149253731,1,0.166666667,2,6.210526316,1.315789474
HP,1.16758794,0,1.316750419,1.316750419,8.37521E-05,17,1.316750419,10.63478788,1.284092375,3.753163046,0,1.306113903,0,1.316750419,1,0.255297764,2.241141732,79.23609857,7.450651529
HSAPDV,1.153191489,0,1.042553191,1.042553191,0,3,1.042553191,1.995884774,1.047413793,81.66666667,1.961702128,1.029787234,0.652974504,3.004255319,0.347025496,0.047008547,2,2.090517241,1.047413793
IAO,0.955555556,2.727777778,0.994444444,0.994444444,0.183333333,9,0.994444444,5.664122137,1,3.653061224,1.455555556,0.977777778,0.594104308,2.45,0.405895692,0,0,5.664122137,1
ICO,1.021333333,3.442666667,1.029333333,1.029333333,0.04,18,1.029333333,6.992727273,1.032921811,2.924242424,1.053333333,1.032,0.505761844,2.082666667,0.494238156,0.034759358,2.076923077,7.913580247,1.131687243
IDO,1.183070866,3.080708661,1.005905512,1.005905512,0.039370079,11,1.005905512,4.514285714,1.004878049,5.214285714,0.799212598,0.998031496,0.442748092,1.80511811,0.557251908,0.003944773,2,4.624390244,1.024390244
IDOMAL,1.055021162,0,1.007310504,1.007310504,0.000384763,19,1.007310504,10.61171469,1.005772006,5.034615385,0.348980377,0.989226626,0.257304965,1.356290881,0.742695035,0.006158584,2.25,10.80567581,1.018278018
